rent,bedrooms,neighborhood
2300,1,Mission Hill
1950,0,Mission Hill
2100,0,Mission Hill
1975,0,Mission Hill
1750,0,Mission Hill
2100,0,Mission Hill
1775,0,Mission Hill
4800,4,Mission Hill
4000,3,Mission Hill
2300,1,Mission Hill
4950,3,Mission Hill
7500,5,Mission Hill
4950,3,Mission Hill
3150,3,Mission Hill
3200,3,Mission Hill
3500,3,Mission Hill
3500,3,Mission Hill
3200,4,Mission Hill
2950,3,Mission Hill
3400,3,Mission Hill
4500,3,Mission Hill
5550,6,Mission Hill
8000,5,Mission Hill
2500,3,Mission Hill
3600,3,Mission Hill
3500,3,Mission Hill
3300,3,Mission Hill
3300,3,Mission Hill
6600,4,Mission Hill
6600,4,Mission Hill
4950,3,Mission Hill
4950,3,Mission Hill
4200,4,Mission Hill
9100,7,Mission Hill
2550,2,Mission Hill
4400,4,Mission Hill
8500,6,Mission Hill
5600,4,Mission Hill
5200,4,Mission Hill
5200,5,Mission Hill
6000,4,Mission Hill
7350,7,Mission Hill
6000,4,Mission Hill
6000,4,Mission Hill
4500,5,Mission Hill
4100,4,Mission Hill
2790,1,Mission Hill
6000,4,Mission Hill
6000,4,Mission Hill
3210,0,Mission Hill
3380,2,Mission Hill
2970,2,Mission Hill
5800,4,Mission Hill
6400,4,Mission Hill
6710,4,Mission Hill
5950,4,Mission Hill
4600,4,Mission Hill
5650,5,Mission Hill
4900,5,Mission Hill
4500,4,Mission Hill
5950,4,Mission Hill
4600,4,Mission Hill
4575,4,Mission Hill
4620,2,Mission Hill
3330,1,Mission Hill
4750,4,Mission Hill
4200,4,Mission Hill
7650,5,Mission Hill
8000,5,Mission Hill
8000,5,Mission Hill
6400,4,Mission Hill
6000,4,Mission Hill
6400,4,Mission Hill
4530,1,Mission Hill
5230,5,Mission Hill
4250,4,Mission Hill
4250,4,Mission Hill
4400,4,Mission Hill
6930,4,Mission Hill
6950,4,Mission Hill
7050,4,Mission Hill
7400,5,Mission Hill
7400,5,Mission Hill
6930,4,Mission Hill
6500,5,Mission Hill
4500,4,Mission Hill
4500,4,Mission Hill
5500,5,Mission Hill
5500,5,Mission Hill
7200,5,Mission Hill
6200,4,Mission Hill
6400,4,Mission Hill
6400,4,Mission Hill
6400,4,Mission Hill
6000,4,Mission Hill
5000,4,Mission Hill
5000,4,Mission Hill
5000,4,Mission Hill
5000,4,Mission Hill
6500,5,Mission Hill
3450,2,Mission Hill
5200,4,Mission Hill
6400,4,Mission Hill
4800,3,Mission Hill
4950,3,Mission Hill
4950,3,Mission Hill
3400,2,Mission Hill
3860,2,Mission Hill
3530,2,Mission Hill
4600,3,Mission Hill
4800,3,Mission Hill
3200,2,Mission Hill
5250,2,Mission Hill
4500,2,Mission Hill
4100,2,Mission Hill
8900,7,Mission Hill
3400,2,Mission Hill
3800,2,Mission Hill
4500,3,Mission Hill
4100,4,Mission Hill
5280,2,Mission Hill
3030,2,Mission Hill
4980,2,Mission Hill
4950,3,Mission Hill
4950,3,Mission Hill
6600,4,Mission Hill
4750,4,Mission Hill
9000,6,Mission Hill
6600,4,Mission Hill
4500,3,Mission Hill
4500,3,Mission Hill
6600,4,Mission Hill
5000,4,Mission Hill
7200,4,Mission Hill
6600,4,Mission Hill
3850,2,Mission Hill
6750,5,Mission Hill
9900,6,Mission Hill
5000,4,Mission Hill
7110,4,Mission Hill
5780,3,Mission Hill
6000,6,Mission Hill
3750,3,Mission Hill
6000,6,Mission Hill
6000,6,Mission Hill
6000,5,Mission Hill
6600,4,Mission Hill
4390,2,Mission Hill
4800,3,Mission Hill
9500,6,Mission Hill
5780,3,Mission Hill
3200,2,Mission Hill
6400,4,Mission Hill
6400,4,Mission Hill
3200,2,Mission Hill
8250,5,Mission Hill
2750,2,Mission Hill
3057,1,Mission Hill
2521,0,Mission Hill
3277,0,Mission Hill
3057,1,Mission Hill
6000,4,Mission Hill
6000,4,Mission Hill
4500,3,Mission Hill
4800,3,Mission Hill
4800,3,Mission Hill
6600,4,Mission Hill
7400,5,Mission Hill
3150,3,Mission Hill
6400,4,Mission Hill
6000,4,Mission Hill
6000,5,Mission Hill
6000,5,Mission Hill
6300,4,Mission Hill
3520,2,Mission Hill
4500,5,Mission Hill
6000,4,Mission Hill
6000,4,Mission Hill
2850,2,Mission Hill
6000,4,Mission Hill
3330,1,Mission Hill
4750,4,Mission Hill
5600,4,Mission Hill
6820,5,Mission Hill
4200,4,Mission Hill
5200,5,Mission Hill
11200,8,Mission Hill
4300,5,Mission Hill
5000,5,Mission Hill
6500,6,Mission Hill
5600,4,Mission Hill
8550,1,Mission Hill
8070,2,Mission Hill
7830,1,Mission Hill
8550,1,Mission Hill
6360,2,Mission Hill
4012,2,Mission Hill
2800,0,Mission Hill
4734,2,Mission Hill
6000,4,Mission Hill
7500,5,Mission Hill
4800,3,Mission Hill
4950,3,Mission Hill
7500,5,Mission Hill
7500,5,Mission Hill
7500,5,Mission Hill
7500,5,Mission Hill
8000,5,Mission Hill
7500,5,Mission Hill
6400,4,Mission Hill
6400,4,Mission Hill
6600,4,Mission Hill
5200,4,Mission Hill
4800,3,Mission Hill
9000,6,Mission Hill
4800,3,Mission Hill
5000,3,Mission Hill
4800,3,Mission Hill
7500,5,Mission Hill
4250,4,Mission Hill
6220,5,Mission Hill
7400,5,Mission Hill
7450,5,Mission Hill
3520,2,Mission Hill
4470,3,Mission Hill
7500,5,Mission Hill
3944,1,Mission Hill
2779,0,Mission Hill
6600,4,Mission Hill
5250,4,Mission Hill
2779,0,Mission Hill
6000,5,Mission Hill
3375,2,Mission Hill
7450,5,Mission Hill
9270,2,Mission Hill
4200,3,Mission Hill
6900,6,Mission Hill
6000,4,Mission Hill
7000,5,Mission Hill
5600,4,Mission Hill
6660,5,Mission Hill
6500,5,Mission Hill
3000,2,Mission Hill
2500,1,Mission Hill
2500,1,Mission Hill
2300,1,Mission Hill
3950,3,Mission Hill
5355,4,Mission Hill
6000,4,Mission Hill
9000,6,Mission Hill
9000,6,Mission Hill
9000,6,Mission Hill
6600,4,Mission Hill
6000,4,Mission Hill
9000,6,Mission Hill
9000,6,Mission Hill
5100,1,Mission Hill
8000,5,Mission Hill
2700,1,Mission Hill
9000,6,Mission Hill
7400,5,Mission Hill
7450,5,Mission Hill
6220,4,Mission Hill
4400,3,Mission Hill
5500,4,Mission Hill
4500,3,Mission Hill
4500,3,Mission Hill
2875,1,Mission Hill
4400,2,Mission Hill
4800,3,Mission Hill
2200,0,Mission Hill
2200,0,Mission Hill
2625,1,Mission Hill
3800,2,Mission Hill
3540,1,Mission Hill
6000,4,Mission Hill
5750,4,Mission Hill
6000,4,Mission Hill
2995,1,Mission Hill
2895,2,Mission Hill
5100,4,Mission Hill
1836,1,Mission Hill
7000,4,Mission Hill
6000,4,Mission Hill
2550,0,Mission Hill
5800,4,Mission Hill
3700,1,Longwood
2400,0,Longwood
2400,0,Longwood
3300,2,Longwood
2200,0,Longwood
3200,2,Longwood
3200,1,Longwood
3200,1,Longwood
2200,0,Longwood
2000,0,Longwood
2100,0,Longwood
3200,1,Longwood
2800,1,Longwood
3200,2,Longwood
2800,1,Longwood
2550,1,Longwood
5100,3,Bay Village
4530,1,Bay Village
3800,2,Bay Village
4850,2,Bay Village
3050,1,Bay Village
4700,1,Bay Village
5040,1,Bay Village
2450,1,Bay Village
